"","PrimaryKey","horizontal_flux_total_LPI","horizontal_flux_total_UPI","horizontal_flux_total_MD","horizontal_flux_total_MN","horizontal_flux_total_STD","vertical_flux_LPI","vertical_flux_UPI","vertical_flux_MD","vertical_flux_MN","vertical_flux_STD","PM1_LPI","PM1_UPI","PM1_MD","PM1_MN","PM1_STD","PM2_5_LPI","PM2_5_UPI","PM2_5_MD","PM2_5_MN","PM2_5_STD","PM10_LPI","PM10_UPI","PM10_MD","PM10_MN","PM10_STD"
"3846","20113529010901O3",15.01265915,45.67642867,26.78906095,28.25334495,9.768284825,2.88e-05,0.0015106,0.000208769,0.00039268,0.000542085,4.31e-06,0.000226252,3.13e-05,5.88e-05,8.12e-05,8.34e-06,0.000437677,6.05e-05,0.000113777,0.000157076,2.02e-05,0.001058592,0.000146299,0.000275185,0.000379898
"3853","20113535031303O1",1.033157024,8.393047285,2.671488809,3.336431958,2.176554601,1.04e-06,0.000549453,1.86e-05,0.00010629,0.000221761,1.84e-07,9.77e-05,3.31e-06,1.89e-05,3.94e-05,3.21e-07,0.000170294,5.77e-06,3.29e-05,6.87e-05,7.28e-07,0.000386419,1.31e-05,7.48e-05,0.000155962
"3854","20113535031303O2",0.261625575,6.057275014,1.529350368,2.072776124,1.760061104,1.39e-07,0.000311978,7.73e-06,5.85e-05,0.000132656,2.47e-08,5.55e-05,1.37e-06,1.04e-05,2.36e-05,4.3e-08,9.67e-05,2.39e-06,1.81e-05,4.11e-05,9.76e-08,0.000219424,5.43e-06,4.11e-05,9.33e-05
"3864","20113551041101R1",1.893346392,10.58780754,4.690321241,5.251446016,2.670012561,1.55e-06,0.000297201,1.96e-05,5.62e-05,9.66e-05,8.73e-10,1.72e-07,1.12e-08,3.31e-08,5.84e-08,1.99e-08,3.83e-06,2.53e-07,7.27e-07,1.25e-06,5.25e-07,0.000100499,6.64e-06,1.9e-05,3.27e-05
"3865","20113551041101R2",4.121162389,18.27469486,8.481245209,9.39688733,4.377049156,8.55e-06,0.001433991,9.44e-05,0.000294889,0.000527408,1.32e-06,0.000221083,1.46e-05,4.55e-05,8.13e-05,2.56e-06,0.000428775,2.82e-05,8.82e-05,0.0001577,5.99e-06,0.001004647,6.61e-05,0.0002066,0.000369508
"3866","20113551061201O1",0.130630419,2.745143962,0.591687853,0.877299166,0.807581483,2.76e-08,8.08e-05,1.24e-06,1.33e-05,3.33e-05,4.26e-09,1.25e-05,1.91e-07,2.05e-06,5.13e-06,8.27e-09,2.41e-05,3.7e-07,3.97e-06,9.96e-06,1.94e-08,5.66e-05,8.66e-07,9.31e-06,2.33e-05
"3867","20113551061201O2",0.041237706,1.250121564,0.226090203,0.399333406,0.434509132,5.34e-09,4.09e-05,3.46e-07,6.66e-06,1.89e-05,8.24e-10,6.31e-06,5.33e-08,1.03e-06,2.92e-06,1.6e-09,1.22e-05,1.03e-07,1.99e-06,5.65e-06,3.74e-09,2.87e-05,2.42e-07,4.67e-06,1.32e-05
"3868","20113553051401R2",5.01e-07,0.098530168,0.001783757,0.021142569,0.050244833,1.26e-17,7.32e-07,1.63e-10,2.92e-07,1.62e-06,2.25e-18,1.3e-07,2.89e-11,5.19e-08,2.88e-07,3.92e-18,2.27e-07,5.04e-11,9.05e-08,5.03e-07,8.89e-18,5.15e-07,1.14e-10,2.05e-07,1.14e-06
"3869","20113553051401R3",1.05e-07,0.048769142,0.00061112,0.009749935,0.025107532,2.07e-19,7e-08,7.55e-12,3.44e-08,2.11e-07,4.76e-22,1.62e-10,1.74e-14,7.98e-11,4.9e-10,7.1e-21,2.41e-09,2.6e-13,1.18e-09,7.25e-09,9e-20,3.05e-08,3.29e-12,1.5e-08,9.19e-08
"3870","20113553071001O2",0.10756884,3.573693502,0.63236141,1.066741013,1.079412116,2.42e-08,0.00015018,1.82e-06,2.46e-05,6.14e-05,3.73e-09,2.32e-05,2.81e-07,3.79e-06,9.47e-06,7.24e-09,4.49e-05,5.45e-07,7.35e-06,1.84e-05,1.7e-08,0.000105216,1.28e-06,1.72e-05,4.3e-05
"3871","20113553071201O2",0.1050135,3.759751443,0.731518445,1.201427408,1.229375966,2.12e-08,0.000152486,1.85e-06,2.6e-05,6.66e-05,3.28e-09,2.35e-05,2.85e-07,4.02e-06,1.03e-05,6.35e-09,4.56e-05,5.53e-07,7.79e-06,1.99e-05,1.49e-08,0.000106831,1.3e-06,1.82e-05,4.67e-05
"4786","20123513040601O1",18.4021574,64.291771,34.93397252,36.67044471,13.74948378,4.48e-05,0.00309738,0.000378112,0.0008075,0.001220954,6.72e-06,0.000463915,5.66e-05,0.000120945,0.000182875,1.3e-05,0.000897435,0.00010955,0.000233968,0.000353782,3.14e-05,0.00217058,0.000264967,0.000565883,0.00085565
"4787","20123513040601O2",9.839853366,39.20713438,19.59212502,21.12238375,8.920790232,1.49e-05,0.001854569,0.000160494,0.000421216,0.000687083,2.23e-06,0.00027777,2.4e-05,6.31e-05,0.00010291,4.31e-06,0.000537335,4.65e-05,0.000122044,0.000199082,1.04e-05,0.001299634,0.000112469,0.00029518,0.000481503
"4788","20123513110101O2",1.866014709,11.7469732,4.774723837,5.439943147,3.090314225,2.94e-06,0.000812417,4.16e-05,0.000157409,0.000301482,5.22e-07,0.000144396,7.39e-06,2.8e-05,5.36e-05,9.1e-07,0.000251794,1.29e-05,4.88e-05,9.35e-05,2.07e-06,0.000571354,2.92e-05,0.000110705,0.000212037
"4789","20123513110101O3",0.938744828,5.366146299,2.23667327,2.494832503,1.319965525,3.95e-07,0.000110286,5.2e-06,1.9e-05,3.74e-05,6.09e-08,1.7e-05,8.02e-07,2.92e-06,5.77e-06,1.18e-07,3.3e-05,1.55e-06,5.67e-06,1.12e-05,2.77e-07,7.73e-05,3.64e-06,1.33e-05,2.62e-05
"4790","20123513110301R1",0.296595316,1.643630419,0.674674182,0.759337892,0.414220996,3.01e-08,8.23e-06,3.39e-07,1.8e-06,4.93e-06,1.7e-11,4.94e-09,1.93e-10,1.03e-09,2.8e-09,3.87e-10,1.07e-07,4.37e-09,2.31e-08,6.34e-08,1.02e-08,2.78e-06,1.15e-07,6.07e-07,1.67e-06
"4791","20123513110301R2",2.67991559,13.83215442,6.111946935,6.829899333,3.503219503,2.14e-06,0.000363128,2.68e-05,8.06e-05,0.00014468,1.21e-09,2.28e-07,1.52e-08,4.74e-08,8.78e-08,2.75e-08,4.72e-06,3.45e-07,1.04e-06,1.87e-06,7.24e-07,0.000122833,9.05e-06,2.73e-05,4.89e-05
"4794","20123515030501R2",26.73949845,68.37581226,44.21322922,45.64080193,12.58855455,0.000495157,0.013110461,0.002538502,0.00406284,0.00447855,8.8e-05,0.002330364,0.000451212,0.000722178,0.000796157,0.000153469,0.004064351,0.000786938,0.001259593,0.001389004,0.000348237,0.009221248,0.001785439,0.002857682,0.003150578
"4807","20123527040401O1",0.363995027,4.417087866,1.349444547,1.692341043,1.247989575,1.55e-07,0.000118677,3.69e-06,2.35e-05,5.04e-05,8.7e-11,6.89e-08,2.12e-09,1.35e-08,2.92e-08,1.99e-09,1.53e-06,4.76e-08,3.03e-07,6.5e-07,5.25e-08,4.01e-05,1.25e-06,7.95e-06,1.7e-05
"4808","20123527040401O2",0.168941127,4.631027963,1.053939943,1.52869176,1.381628626,4.19e-08,0.000118947,2.73e-06,2.35e-05,5.32e-05,2.33e-11,6.8e-08,1.53e-09,1.35e-08,3.06e-08,5.38e-10,1.53e-06,3.51e-08,3.02e-07,6.86e-07,1.42e-08,4.02e-05,9.23e-07,7.94e-06,1.8e-05
"4816","20123535010801O2",1.60540814,9.27168361,3.888198462,4.412746663,2.33210297,2.2e-06,0.000540956,2.67e-05,0.000109731,0.000217562,3.91e-07,9.62e-05,4.74e-06,1.95e-05,3.87e-05,6.81e-07,0.000167682,8.27e-06,3.4e-05,6.74e-05,1.55e-06,0.000380463,1.88e-05,7.72e-05,0.00015301
"4817","20123535010801O3",0.45270146,2.466397276,1.080050914,1.197973825,0.59435215,7.41e-07,0.00015812,8.49e-06,2.89e-05,5.17e-05,1.32e-07,2.81e-05,1.51e-06,5.13e-06,9.19e-06,2.3e-07,4.9e-05,2.63e-06,8.95e-06,1.6e-05,5.21e-07,0.000111206,5.97e-06,2.03e-05,3.64e-05
"4818","20123535020601O1",3.398722235,21.10935226,8.954456634,10.05573857,5.394614581,1.67e-05,0.003623347,0.00024977,0.000790954,0.001333175,2.97e-06,0.000644012,4.44e-05,0.000140585,0.000236966,5.19e-06,0.00112307,7.74e-05,0.000245166,0.000413271,1.18e-05,0.002548295,0.000175655,0.000556284,0.000937667
"4819","20123535020601O2",21.32402174,83.29298073,41.88679406,45.54507806,18.68804417,8.42e-05,0.008238832,0.000787518,0.001953966,0.003015561,4.78e-08,4.91e-06,4.52e-07,1.16e-06,1.86e-06,1.08e-06,0.000106555,1.02e-05,2.53e-05,3.91e-05,2.85e-05,0.002786318,0.000266339,0.000660816,0.001019981
"4820","20123535051101O1",0.249389221,3.529791062,1.047458285,1.314955298,0.975438426,1.29e-07,0.000121366,4.21e-06,2.38e-05,5.33e-05,2.29e-08,2.16e-05,7.48e-07,4.22e-06,9.48e-06,3.99e-08,3.76e-05,1.3e-06,7.37e-06,1.65e-05,9.05e-08,8.54e-05,2.96e-06,1.67e-05,3.75e-05
"4821","20123535051101O2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4822","20123535061001O2",0.699200612,9.983977126,2.863305955,3.664690132,2.836904276,1.03e-06,0.001025788,3.3e-05,0.000212041,0.000435668,1.82e-07,0.000182327,5.86e-06,3.77e-05,7.74e-05,3.18e-07,0.000317973,1.02e-05,6.57e-05,0.000135035,7.22e-07,0.00072146,2.32e-05,0.000149125,0.000306403
"4823","20123535061001O3",1.191446915,8.3012503,3.07210616,3.595846763,2.116273458,2.37e-06,0.000772748,3.66e-05,0.000167485,0.000319483,4.22e-07,0.00013735,6.51e-06,2.98e-05,5.68e-05,7.36e-07,0.000239528,1.14e-05,5.19e-05,9.9e-05,1.67e-06,0.000543484,2.58e-05,0.000117791,0.000224692
